Quarter,CPI_YoY,FX,Policy_Rate,Real_Rate
2021-Q1,4.401756928716733,15.64386666666667,8.75,4.348243071283267
2021-Q2,4.640609429895191,15.6239515151515,8.75,4.109390570104809
2021-Q3,5.891551975904413,15.64954507575757,8.75,2.858448024095587
2021-Q4,5.887122947294373,15.66074585326957,8.75,2.8628770527056266
2022-Q1,8.849226099338615,16.0018454347826,9.75,0.9007739006613846
2022-Q2,13.23268206039076,18.47135396825397,11.75,-1.4826820603907596
2022-Q3,14.41887561899214,19.10080104813667,11.75,-2.668875618992139
2022-Q4,18.78201479795106,23.0677585137085,16.75,-2.03201479795106
2023-Q1,30.21064301552103,29.98248045454547,18.75,-11.460643015521029
2023-Q2,33.01960784313725,30.83963973063973,18.75,-14.269607843137251
2023-Q3,37.27087576374746,30.84224420289857,19.75,-17.520875763747462
2023-Q4,34.66698610445621,30.84129040404043,19.75,-14.916986104456207
2024-Q1,33.01404853128991,35.67964,27.75,-5.264048531289909
2024-Q2,29.38286163522011,47.55433333333333,27.75,-1.6328616352201095
2024-Q3,26.13130563798222,48.48962333333333,27.75,1.6186943620177807
2024-Q4,25.35136096779932,49.47344333333333,27.75,2.3986390322006805
2025-Q1,16.53064490318449,50.45875666666667,27.75,11.219355096815509
2025-Q2,15.20583320674466,50.38726666666667,24.5,9.29416679325534
2025-Q3,12.49816203499484,,,
